id,title,topic,module,body,managerial_phrasing,common_mistake,updated
association-group-mean,Compare means of a quantitative variable per category,group mean,describing-two-variables,"typically, we compare the group mean of ",,,
association-quantitative-categorical,Visualize a quantitative variable against a categorical one,group mean,describing-two-variables,We use clustered bar chart or diamond plot to compare the group means across the groups formed by the categorical variable.,,,8/12/26
,Visualize the association between two categorical variables,association,describing-two-variables,,,,
association-two-categorical,Describing the association between two categorical variables,association,describing-two-variables,"We visualize with contingency table or mosaic plot for visualization, and compare the observed frequencies and expected frequencies to get Chi-Square measure. To interpret the strength, we would transform Chi-Square to Cramer's V, which is a similar measure to correlation coefficient and can be interpreted in the same way.",,,8/12/26
correlation-two-quantitative,Describing the correlation between two quantitative variables,correlation,describing-two-variables,"We use scatter plot for visualize and use correlation coefficient r to interpret the strength. Based on the value, the strength can be referred to as weak, moderately weak, moderately strong and strong based on the threshold values of 0.25, 0.5, and 0.75.","Use the strength ladder: weak / moderately weak / moderately strong / strong, at r = 0.25, 0.5, 0.75.",,8/12/26
hypothesis-testing-steps,The three steps of hypothesis testing,hypothesis,inference,"There are three steps for Hypothesis testing:
1. Develop the hypothesis Ho and Ha
2. Collect Evidence: We collect and analyze data to obtain the right measure of significance
3. Make conclusion: Compare significance to 5% to reject the Ho",,,8/12/26
null-hypothesis,Developing the null hypothesis,hypothesis,inference,"Null hypothesis is what we expect things to happen when there is no difference, no effect, no change. The key here is to translate the concept of ""nothing"" in given context.

Ex: in the context of marketing promotion, ""nothing"" means the promotion has no impact (on the revenue).","Translate ""nothing happens"" into the business context before writing Ho.",,8/12/26
p-value,Interpreting a p-value,p-value,simple-regression,p-value is a special significance for testing slope in regressions. The null hypothesis here is there is no relationship or slope equals to 0. p-value can be compared to 5% the same way as any other significance.,,Evaluating the significance of a slope is confused with interpreting the slope. The p-value says whether there is a relationship; the slope says how much.,8/12/26
significance,Understanding significance,hypothesis,inference,"Significance describes how likely a sample can be observed given the null hypothesis of the population. The smaller is the significance, the more unlikely to observe our sample, which means the sample is more significantly indicating the true population is different from the expectation based on the null hypothesis.",,,8/12/26
regression-slope-simple,Interpreting the slope of a simple regression,slope,simple-regression,"In simple regression, slope can be interpreted as how much does Y change per unit of X, on average. We can then combine this general format with corresponding context. If the X variable is categorical, we need to focus on the comparison between categories.",,,8/12/26
r-squared,Interpreting R-squared,model fit,simple-regression,"R2 tells us how much the X variable can explain the variations in the Y variable. Note it's the variation of Y, not Y itself. And the variation is measured against the corresponding mean. ",,,
regression-coefficient-multiple,Interpreting a coefficient in a multiple regression,coefficient,multiple-regression,"The interpretation of regression coefficient in multiple regression is similar to that in simple regression, ex how much does Y change per unit of X, on average. However, due to the existence of other variables in the model, we need to add an additional phrase, such as controlling for other variables in the model.","Add ""controlling for the other variables in the model"" to the per-unit statement.",,8/12/26
collinearity-definition,What collinearity and multicollinearity are,collinearity,multiple-regression,"Collinearity occurs when the X variables in a model are also correlated with each other. As such the impact of each of the variables are confounded, and simple regression is not enough to differentiate the direct effect of a variable from the indirect effect.

Ex: the size and number of bedrooms of a house is highly correlated. The impact of size on house price can be directly due to larger size and/or due to more bedrooms.",,,8/12/26
collinearity-impact,What collinearity does to your coefficients,collinearity,multiple-regression,"Depending on the degree of collinearity, the regression coefficients in simple and multiple regressions are different.
- If the direct and indirect effects are in the same direction, the multiple regression coefficients will be weaker than that in simple regression. Ex: when using both sqft and bedrooms to predict price.
- If the direct and indirect effects are in different direction, the multiple regression coefficients will be stronger than that in simple regression. Ex: when using both bedrooms and age to predict price.
Note that stronger or weaker is referring to the size of the coefficient, not the sign.",,Students expect the coefficient to get stronger when the direct and indirect effects point the same way. It gets weaker; stronger happens when they point in opposite directions.,8/12/26
dummy-for-regression,How to include categorical variables in regression,categorical-in-regression,multiple-regression,"Typically, we need to transform a categorical variable into n-1 dummy variables for regresssion purpose. JMP does the transformation automatically by picking the average of all categories as the baseline, while Excel requires us to pick a baseline category hence n-1 dummy variables. ",,,
categorical-in-regression,Do I remove all insignificant categories of a categorical variable,model-building,multiple-regression,"When building a model, we should evaluate each variable that is not significant carefully. If the variable is quantitative or binary, then yes, it should excluded. If the variable is a dummy variable that belongs to a categorical variable with more than 2 categories, then we need to evaluate the  categorical variable as a whole, not just the category itself. ",,,
backwards-deduction,What is backwards deduction process,model-building,multiple-regression,"It is a model building process that starts with a regression with all the appropriate X variables, and then removes the worst variable one at a time until all the remaining variables are significant.",,,
logistic-model-comparison,Comparing logistic regression models,logistic-regression,logistic-regression,,,,
logistic-purpose,What a logistic regression is for,logistic-regression,logistic-regression,,,,
residual-interpretation,Reading a residual plot,logistic-regression,logistic-regression,,,,
,Basic structure of a decision tree,tree structure,decision-basics,"3 types of nodes: decision, event and end node. 2 types of branches, and 2 types of numerical inputs, cash flow and probability",,,
,Direction in a decision tree,tree structure,,"trees are devleoped from left to right. For nodes on the same branch, what's on the left happens first, and what's on the right occurs later. ",,,
decision-tree-structure,How a decision tree is structured,tree structure,decision-basics,,,,
,Differentiate a decision node from an event node,,,,,,
,Net cash flow for end nodes,solve decision tree,,Calculation: summarize all the cash flows on the path from start to end.  Interpretation: describe the path leads from start to end. Use 'if' to describe the node. ,,,
expected-value,Expected value of an event node,solve decision tree,decision-basics,Calculation:    Interpretation,,,
,Optimal value of a decision node,,,Calculation:    Interpretation,,,
decision-tree-rollback,Folding back a tree to compare alternatives,solve decision tree,decision-basics,"Solve the tree by starting from the end nodes and folding back to the beginning, calculate the expected value for event nodes, and choose the best for the decision node. ",,,
breakeven-analysis,Break-even analysis and what it answers,breakeven,sensitivity-analysis,"explore the magical value of input that makes two alternatives yield the same expected output. Implemented by Excel goal seek. 1. Create a cell calcuating the difference of the two altetnaives, 2. set this cell equal to 0, and 3. set changing cell to the input cell. ",,,
one-variable-data-table,What a one-variable data table tells you,one-variable-data-table,sensitivity-analysis,"Explore the impact of one decision parameter on the output of various alternatives. Implemented by Excel Data-> What if analysis. Typically, we keep the one input in the first column as the column input. ",,,
,Building a two-variable data table,two-variable-data-table,sensitivity-analysis,1. Keep one parameter in the first column and one parameter for the first row. 2. Use the optimal solution or alternative for the output in the top left cell of the data table. 3. link the table to the corespong input cell for row input and column input. ,,,
two-variable-data-table,Reading a two-variable data table,two-variable-data-table,sensitivity-analysis,"Focus on the two dimensional patterns and identify region that coresponds to each alternative being optimal. Describe the region (ex: top-left, or bottom-right) with the corresponding variables (ex: high probability and low cost)",,,
value-of-information,Value of information,value-of-information,sensitivity-analysis,,,,
