id,title,topic,module,body,managerial_phrasing,common_mistake,status,updated,_note
association-contingency,Visualize the association between two categorical variables,Association between categorical variables,describing-two-variables,We visualize with contingency table or mosaic plot for visualization. We interpret the relative frequency of one variable by comparing to the marginal frequency regardless of the other variable.,Say which group has higher/lower success rate than variable not considered. ,Fail to compare to marginal frequency,core,8/22/26,"RECOMMEND DELETE - no id, no body, and superseded by 'Describing the association between two categorical variables', which already covers contingency table and mosaic plot. Filling it would put two near-identical concepts in competition at retrieval."
association-two-categorical,Describing the association between two categorical variables,Association between categorical variables,describing-two-variables,"Compare the observed frequencies and expected frequencies to get Chi-Square measure. To interpret the strength, we would transform Chi-Square to Cramer's V, which is a similar measure to correlation coefficient and can be interpreted in the same way.","Report Cramer's V on the same weak-to-strong ladder as correlation, then name which cells sit furthest from what was expected.",Chi-Square is read as the strength of the association. Chi-Square says whether there is one; Cramer's V says how strong it is.,core,8/12/26,
correlation-two-quantitative,Describing the correlation between two quantitative variables,Correlation,describing-two-variables,"We use scatter plot for visualize and use correlation coefficient r to interpret the strength. Based on the value, the strength can be referred to as weak, moderately weak, moderately strong and strong based on the threshold values of 0.25, 0.5, and 0.75.","Use the strength ladder: weak / moderately weak / moderately strong / strong, at r = 0.25, 0.5, 0.75.",Only quantitative variables and binary categorical variables can be considered for correlation. A non-binary categorical variable CANNOT do correlation.,core,8/12/26,
hypothesis-testing-steps,The three steps of hypothesis testing,Hypothesis testing,hypothesis-testing,"There are three steps for Hypothesis testing:
1. Develop the hypothesis Ho and Ha
2. Collect Evidence: We collect and analyze data to obtain the right measure of significance
3. Make conclusion: Compare significance to 5% to reject the Ho","Walk the three steps out loud: what would ""nothing happening"" look like here, what does the data say, and does it beat 5%.","Students jump to the p-value without stating Ho. Until the null is written in context, there is nothing for the p-value to be evidence against.",core,8/12/26,
null-hypothesis,Developing the null hypothesis,Hypothesis testing,hypothesis-testing,"Null hypothesis is what we expect things to happen when there is no difference, no effect, no change. The key here is to translate the concept of ""nothing"" in given context.

Ex: - in marketing promotion, ""nothing"" means the promotion has no impact (on the revenue). - in healthcare, ""nothing"" mean the drug or treatment doesn't have any impact. - in finance, ""nothing"" means the return of two stocks have no difference. ","Translate ""nothing happens"" into the business context before writing Ho.","The null gets written as what the business hopes to find. It is always the ""nothing happened"" case -- no effect, no difference, no change.",core,8/12/26,
significance,Understanding significance,Hypothesis testing,hypothesis-testing,"Significance describes how likely a sample can be observed given the null hypothesis of the population. The smaller is the significance, the more unlikely to observe our sample, which means the sample is more significantly indicating the true population is different from the expectation based on the null hypothesis. 

Apple tree Ex: the smaller is the signifance, the more unlikely to observe the pile of apples, the further the pile is from a tree,  in turn more sigificantly indicating the pile could be from a different tree.","Say it as a likelihood: if nothing were really going on, we would see a sample like this only X% of the time.","Significance is read as the size of the effect. It measures how surprising the sample is under the null, not how large the difference is.

More significant means bigger significance value. ",core,8/12/26,
p-value,Interpreting a p-value,p-values,simple-regression,p-value is a special significance for testing slope in regressions. The null hypothesis here is there is no relationship or slope equals to 0. p-value can be compared to 5% the same way as any other significance.,"Settle whether the relationship is real before saying how big it is: ""p is below 5%, so this relationship is unlikely to be chance.""",Evaluating the significance of a slope is confused with interpreting the slope. The p-value says whether there is a relationship; the slope says how much.,core,8/12/26,
regression-slope-simple,Interpreting the slope of a simple regression,Slope,simple-regression,"In simple regression, slope can be interpreted as how much does Y change per unit of X, on average. We can then combine this general format with corresponding context. If the X variable is categorical, we need to focus on the comparison between the ""1"" category vs '0' (baseline or reference) category.","State it per unit with both units named -- ""each additional square foot is associated with about $X more in price, on average.""","The slope is read as a prediction for one specific case, instead of an average change across all the data.
Missing the units for variables. Unspecific about the amount of change. ",core,8/12/26,
r-squared,Interpreting R-squared,R-squared and model fit,simple-regression,"R2 tells us how much the X variable can explain the variations in the Y variable. Note it's the variation of Y, not Y itself. And the variation is measured against the corresponding mean.","Say it as a share of variation with the context attached: ""an R-squared of 0.62 means about 62% of the differences in price are explained by size -- the other 38% comes from everything not in the model.""","An R-squared of 0.62 is read as ""62% of Y is explained"", or as proof the model is right. It is 62% of the variation in Y, and a high R-squared says nothing about whether X causes Y.",core,8/22/26,
regression-coefficient-multiple,Interpreting a coefficient in a multiple regression,Interpreting coefficients,multiple-regression,"The interpretation of regression coefficient in multiple regression is similar to that in simple regression, ex how much does Y change per unit of X, on average. However, due to the existence of other variables in the model, we need to add an additional phrase, such as controlling for other variables in the model.","Add ""controlling for the other variables in the model"" to the per-unit statement.","The multiple regression coefficient is compared with the simple regression one and the gap is called an error. They answer different questions -- one holds the other variables fixed, the other does not.",core,8/12/26,
collinearity-definition,What collinearity and multicollinearity are,Multicollinearity,multiple-regression,"Collinearity occurs when the X variables in a model are also correlated with each other. As such the impact of each of the variables are confounded, and simple regression is not enough to differentiate the direct effect of a variable from the indirect effect.

Ex: the size and number of bedrooms of a house is highly correlated. The impact of size on house price can be directly due to larger size and/or due to more bedrooms.","Name the two X variables that move together, then say the model cannot separate their effects.",Collinearity is treated as a problem with Y or with sample size. It is a relationship among the X variables themselves.,core,8/12/26,
collinearity-venn,Visualize the size of collinearity with Venn diagram,Multicollinearity,multiple-regression,"We use Venn diagram to visualize the size of collinearity. The goal is to visualize the % of variation in the target overlapped or covered by various predictors. Our focus will be on three regions/areas:
A. Overlap of predictor X1 exclusively on target
B. Overlap of predictor X2 exclusively on target
C. Overlap of both predictors on target
The bigger is region C, the stronger is the collinearity","The more is the overlap between predictors, the more individual coefficients will be affected. ",Focus on areas not overlapping the target. That part doesn't matter to the target. ,core,8/12/26,
collinearity-influence,Visualize the direction of collinearity with influence diagram,Multicollinearity,multiple-regression,"Use influence diagram to visualize the direction of the collinearity. The goal is to understand the direction of both direct effect and indirect effort of a predictor on the target. Specifically, 
- Direct effect: corresponds to Region A in Venn diagram, which describes the relationship between X1 and target, indicated by the sign of the correlation. 
- Indirect effect: corresponds to Region C in Venn diagram, which describes the chained relationship from X1 -> X2 -> target. the direction is evaluated with the sign of each link (ex: X1->X2) and chained together in a multiplicative way (ex: ""-"" and ""-"" produces ""+""). ","Indirect effect has a opposite direction from direct effect means the collinearity weakens the direct effect in simple regression. Otherwise, the indirect effect inflates the direct effect. ",Indirect effect directions are not chained in a multiplicative way.,core,8/12/26,
collinearity-impact,What collinearity does to your coefficients,Multicollinearity,multiple-regression,"Depending on the degree of collinearity, the regression coefficients in simple and multiple regressions are different.
- If the direct and indirect effects are in the same direction, the multiple regression coefficients will be weaker than that in simple regression. Ex: when using both sqft and bedrooms to predict price.
- If the direct and indirect effects are in different direction, the multiple regression coefficients will be stronger than that in simple regression. Ex: when using both bedrooms and age to predict price.
Note that stronger or weaker is referring to the size of the coefficient, not the sign.","Say which way the coefficient moved and why: ""once bedrooms is in the model, the size effect shrinks, because the two overlap.""",Students expect the coefficient to get stronger when the direct and indirect effects point the same way. It gets weaker; stronger happens when they point in opposite directions.,core,8/12/26,
dummy-for-regression,How to include categorical variables in regression,Categorical variables in regression,multiple-regression,"Typically, we need to transform a categorical variable into n-1 dummy variables for regresssion purpose. JMP does the transformation automatically by picking the average of all categories as the baseline, while Excel requires us to pick a baseline category hence n-1 dummy variables.",Name the baseline category out loud -- every dummy coefficient is a comparison against it.,"A dummy coefficient is read on its own. It only means something relative to the baseline category, and JMP and Excel pick that baseline differently.",core,8/22/26,
Correlation-for-regression,Two purpose of correlation matrix before regression,Model building and variable selection,multiple-regression,"We create the correlation matrix before regression to serve two purpose:
1. identify the single best predictor X for the target. Based on ONLY the correlation between predictors and the target, and identify the one X with the strongest correlation with target, regardless of sign
2. identify early-warning for collinearity. Based on Exclusively correlation between predictors. If any of the correlation is stronger than or close to 0.4 (an abitary threshold i introduced for our class), we should state there is a concern for collinearity.","Identify the best single predictor as a benchmark. 
State collinearity concern before regression. ","Only quantitative variables and binary categorical variables can be considered for correlation. A non-binary categorical variable CANNOT do correlation.

Cite correlation with target as evidence for collinearity. ",core,8/23/26,
categorical-in-regression,Do I remove all insignificant categories of a categorical variable,Model building and variable selection,multiple-regression,"When building a model, we should evaluate each variable that is not significant carefully. If the variable is quantitative or binary, then yes, it should excluded. If the variable is a dummy variable that belongs to a categorical variable with more than 2 categories, then we need to evaluate the categorical variable as a whole, not just the category itself.","Judge the categorical variable as a whole, not one category at a time.",One insignificant category gets dropped on its own. A categorical variable with more than two categories is kept or removed as a set.,core,8/22/26,"RENAME - id 'categorical-in-regression' describes the area, not this question, and collides conceptually with dummy-for-regression. Suggest id categorical-drop-as-a-set. |  whitespace normalised"
backwards-deduction,What is backwards deduction process,Model building and variable selection,multiple-regression,"It is a model building process that starts with a regression with all the appropriate X variables, and then removes the worst variable one at a time until all the remaining variables are significant.",Remove one variable at a time -- the worst one -- and refit before deciding the next.,"Students remove every insignificant variable in one pass. Significance shifts as variables leave, so it has to be done one at a time.",core,8/22/26,"RENAME - 'backward elimination' is the standard term; students searching 'backwards deduction' find nothing. Suggest id backward-elimination, title 'What backward elimination is'."
logistic-model-comparison,Comparing logistic regression models,Logistic regression,logistic-regression,"Logistic models are not compared using R-squared the way linear models are. We compare them on:
- Misclassification rate: the share of observations the model puts in the wrong class. Lower is better.
- The confusion matrix: where the errors fall. A false positive and a false negative usually cost the business different amounts, so how the errors split matters more than how many there are.
- RSquare (U) or AICc from the JMP fit report, when comparing models fitted on the same data.

Choose the model whose errors are cheapest for the decision at hand, not simply the one with the highest overall accuracy.","Compare on what the errors cost, not on overall accuracy -- say what a false positive and a false negative each cost the business.","Models are ranked on overall accuracy alone. When one outcome is rare, a model that never predicts it can still look highly accurate and be useless.",core,8/22/26,
logistic-purpose,What a logistic regression is for,Logistic regression,logistic-regression,"Logistic regression predicts a binary outcome -- whether something happens or not -- instead of a quantitative value. The business questions are of the form: will this customer churn, will this loan default, will this prospect convert.

The model returns the probability of the ""yes"" outcome, always between 0 and 1. We then apply a cutoff to turn that probability into a predicted class. Linear regression is not appropriate here: it can predict below 0 or above 1, and it assumes each unit of X moves Y by the same amount no matter where you start.","Frame the output as a probability for one case -- ""this account has a 78% chance of churning"" -- then say what action that triggers.","Students run a linear regression on a 0/1 outcome. Linear regression can predict probabilities below 0 or above 1, which is the reason the binary case needs logistic.",core,8/22/26,
residual-interpretation,Reading a residual plot,Residual plots,multiple-regression,"A residual is the gap between what actually happened and what the model predicted. A residual plot puts the residuals on the Y axis against the predicted values on the X axis.

What we want to see is the absence of a pattern: points scattered randomly in a band of even width around zero. Three patterns are worth catching:
- A curve means the relationship is not a straight line, and the model is missing it.
- A funnel that widens or narrows means the model is more accurate at one end of the range than the other.
- Isolated points far outside the band are outliers worth checking one by one.","Say what the plot rules out: ""the residuals show no pattern, so a straight-line model is reasonable here.""",Students look for a trend in the residual plot and are pleased to find one. A pattern is the problem -- a healthy residual plot looks like random scatter.,core,8/22/26,"REFILE? - topic and module both say logistic-regression, but residual plots are a linear-regression diagnostic. Consider module multiple-regression."
decision-tree-components,Basic components of a decision tree,Decision tree structure,decision-basics,"3 types of nodes: decision, event and end node. 2 types of branches, and 2 types of numerical inputs, cash flow and probability","Name the three node types as you read the tree out: where you choose, where chance decides, and where the money lands.",Probabilities get attached to a decision node. Only event nodes carry probabilities -- you do not have a 60% chance of making your own decision.,core,8/22/26,
decision-tree-direction,Direction in a decision tree,Decision tree structure,decision-basics,"trees are devleoped from left to right. For nodes on the same branch, what's on the left happens first, and what's on the right occurs later.",Read left to right as the order things happen: what is on the left is decided or revealed first.,The drawing direction is assumed to be the solving direction. Trees are built left to right and solved right to left.,core,8/22/26,
decision-tree-structure,How a decision tree is structured,Decision tree structure,decision-basics,Develop a decision following a left to right direction and map out the sequence fo events one after another. Ask the question: what happens next?,,structure same type of nodes directly after each other. Mixing solution during development. Missing available alternatives at a given point,core,8/22/26,"RECOMMEND DELETE - empty body, duplicates 'Basic structure of a decision tree' (now id decision-tree-nodes). Keep one."
decision-node-vs-event-node,Differentiate a decision node from an event node,Decision tree structure,decision-basics,"A decision node is a choice you control: you pick one branch. An event node is an uncertainty you do not control: chance picks the branch, and those branches carry probabilities that add to 1.

The test is who controls the branch. If you choose it, it is a decision node. If not, it is an event node and it needs probabilities.","Ask who controls the branch: if you choose it, it is a decision node; if chance chooses, it is an event node.","Students put probabilities on the branches leaving a decision node. Those branches are alternatives you select between, not outcomes with likelihoods.",core,8/22/26,
end-node-cash-flow,Net cash flow for end nodes,Solving a decision tree,decision-basics,Calculation: summarize all the cash flows on the path from start to end. Interpretation: describe the path leads from start to end. Use 'if' to describe the node.,"Describe the whole path with ""if"", then give the money at the end of it.",Only the last branch's cash flow is reported. The end node value is the sum of every cash flow on the path that reaches it.,core,8/22/26, whitespace normalised
expected-value,Expected value of an event node,Solving a decision tree,decision-basics,"Calculation: multiply each branch's value by its probability and add the products together.

Interpretation: the long-run average value if this same uncertainty played out many times. It is not what will happen on any single occasion, and it is often a number that cannot actually occur.","Say it as a long-run average tied to the decision: ""on average this launch returns $1.2M, though any single launch lands above or below that.""","The expected value is read as the outcome to expect. It is an average across outcomes, and frequently a value none of the branches can produce.",core,8/22/26,body was a placeholder/truncated stub
decision-node-value,Optimal value of a decision node,Solving a decision tree,decision-basics,"Calculation: take the best expected value among the branches leaving the node -- the highest when the tree is in profit, the lowest when it is in cost.

Interpretation: name the alternative that wins and the expected value it earns, then say what that value is an average over.","Name the winning alternative and its expected value in one line, then say what the average is taken over.","Students average across the decision branches the way they do at an event node. At a decision node you choose the best branch, you do not average them.",core,8/22/26,body was a placeholder/truncated stub
decision-tree-rollback,Folding back a tree to compare alternatives,Solving a decision tree,decision-basics,"Solve the tree by starting from the end nodes (calcuate net cash flow for each path),  and folding back to the beginning by following the path, calculate the expected value for event nodes, and choose the best for the decision node.","Work right to left: average at the event nodes, take the best at the decision nodes.","Students solve left to right, the way the tree is drawn. Folding back has to start at the end nodes, because a decision cannot be compared until what follows it has a value.",core,8/22/26,
breakeven-analysis,Break-even analysis and what it answers,Break-even analysis,sensitivity-analysis,"explore the magical value of input that makes two alternatives yield the same expected output. Implemented by Excel goal seek. 1. Create a cell calcuating the difference of the two altetnaives, 2. set this cell equal to 0, and 3. set changing cell to the input cell.","State the tipping point in business terms: ""below X the first option wins, above X the second does.""",The break-even value is reported as a bare number. It only helps once you say which alternative wins on each side of it.,core,8/22/26,
one-variable-data-table,What a one-variable data table tells you,One-variable data table,sensitivity-analysis,"Explore the impact of one decision parameter on the output of various alternatives. Implemented by Excel Data-> What if analysis. Typically, we keep the one input in the first column as the column input.","Say how the best choice changes as the one input moves across its range, and name the value where it flips.","The table is read as a forecast. It shows what would happen across assumed values of the input, not what will happen.",core,8/22/26,
two-variable-data-table-build,Building a two-variable data table,Two-variable data table,sensitivity-analysis,1. Keep one parameter in the first column and one parameter for the first row. 2. Use the optimal solution or alternative for the output in the top left cell of the data table. 3. link the table to the corespong input cell for row input and column input.,Check the top-left cell points at the output you actually want compared before reading anything else.,"The top-left cell points at the wrong output, rather than optimal. ",core,8/22/26,
two-variable-data-table,Reading a two-variable data table,Two-variable data table,sensitivity-analysis,"Focus on the two dimensional patterns and identify region that coresponds to each alternative being optimal. Describe the region (ex: top-left, or bottom-right) with the corresponding variables (ex: high probability and low cost)","Describe the region, not the cells: ""when probability is high and cost is low, option B wins.""","Students report focuses on specific values  in the boundary rather than the two-dimensional general pattern. Not using wordings like ""low, medium, high"" but citing specific threshold value. ",core,8/22/26,RENAME for symmetry with the new two-variable-data-table-build: suggest id two-variable-data-table-read.
value-of-information,Value of information,Value of information,sensitivity-analysis,"The value of information is the most a decision maker should pay to learn something before choosing. Compute it as the expected value of the decision when the outcome is known in advance, minus the expected value of the best decision made without that knowledge.

With perfect information this is the EVPI, and it is a ceiling: no study, test, or consultant on this question can be worth more. If a market study costs more than the EVPI, it cannot pay for itself however good it is.","State it as a price ceiling: ""perfect information about demand is worth at most $X, so a $Y study cannot pay for itself.""","The value of information is read as the value of the better outcome. It is the improvement in expected value, averaged over outcomes you do not yet know.",core,8/22/26,
